number,name,lobe_order
2001,Precentral_L,frontal
2002,Precentral_R,frontal
2101,Frontal_Sup_L,frontal
2102,Frontal_Sup_R,frontal
2111,Frontal_Sup_Orb_L,frontal
2112,Frontal_Sup_Orb_R,frontal
2201,Frontal_Mid_L,frontal
2202,Frontal_Mid_R,frontal
2211,Frontal_Mid_Orb_L,frontal
2212,Frontal_Mid_Orb_R,frontal
2301,Frontal_Inf_Oper_L,frontal
2302,Frontal_Inf_Oper_R,frontal
2311,Frontal_Inf_Tri_L,frontal
2312,Frontal_Inf_Tri_R,frontal
2321,Frontal_Inf_Orb_L,frontal
2322,Frontal_Inf_Orb_R,frontal
2331,Rolandic_Oper_L,frontal
2332,Rolandic_Oper_R,frontal
2401,Supp_Motor_Area_L,frontal
2402,Supp_Motor_Area_R,frontal
2501,Olfactory_L,frontal
2502,Olfactory_R,frontal
2601,Frontal_Sup_Medial_L,frontal
2602,Frontal_Sup_Medial_R,frontal
2611,Frontal_Med_Orb_L,frontal
2612,Frontal_Med_Orb_R,frontal
2701,Rectus_L,frontal
2702,Rectus_R,frontal
3001,Insula_L,subcortex
3002,Insula_R,subcortex
4001,Cingulum_Ant_L,subcortex
4002,Cingulum_Ant_R,subcortex
4011,Cingulum_Mid_L,subcortex
4012,Cingulum_Mid_R,subcortex
4021,Cingulum_Post_L,subcortex
4022,Cingulum_Post_R,subcortex
4101,Hippocampus_L,subcortex
4102,Hippocampus_R,subcortex
4111,ParaHippocampal_L,subcortex
4112,ParaHippocampal_R,subcortex
4201,Amygdala_L,subcortex
4202,Amygdala_R,subcortex
5001,Calcarine_L,occipital
5002,Calcarine_R,occipital
5011,Cuneus_L,occipital
5012,Cuneus_R,occipital
5021,Lingual_L,occipital
5022,Lingual_R,occipital
5101,Occipital_Sup_L,occipital
5102,Occipital_Sup_R,occipital
5201,Occipital_Mid_L,occipital
5202,Occipital_Mid_R,occipital
5301,Occipital_Inf_L,occipital
5302,Occipital_Inf_R,occipital
5401,Fusiform_L,temporal
5402,Fusiform_R,temporal
6001,Postcentral_L,Parietal
6002,Postcentral_R,Parietal
6101,Parietal_Sup_L,Parietal
6102,Parietal_Sup_R,Parietal
6201,Parietal_Inf_L,Parietal
6202,Parietal_Inf_R,Parietal
6211,SupraMarginal_L,Parietal
6212,SupraMarginal_R,Parietal
6221,Angular_L,Parietal
6222,Angular_R,Parietal
6301,Precuneus_L,Parietal
6302,Precuneus_R,Parietal
6401,Paracentral_Lobule_L,Parietal
6402,Paracentral_Lobule_R,Parietal
7001,Caudate_L,subcortex
7002,Caudate_R,subcortex
7011,Putamen_L,subcortex
7012,Putamen_R,subcortex
7021,Pallidum_L,subcortex
7022,Pallidum_R,subcortex
7101,Thalamus_L,subcortex
7102,Thalamus_R,subcortex
8101,Heschl_L,temporal
8102,Heschl_R,temporal
8111,Temporal_Sup_L,temporal
8112,Temporal_Sup_R,temporal
8121,Temporal_Pole_Sup_L,temporal
8122,Temporal_Pole_Sup_R,temporal
8201,Temporal_Mid_L,temporal
8202,Temporal_Mid_R,temporal
8211,Temporal_Pole_Mid_L,temporal
8212,Temporal_Pole_Mid_R,temporal
8301,Temporal_Inf_L,temporal
8302,Temporal_Inf_R,temporal
9001,Cerebelum_Crus1_L,cerebellum
9002,Cerebelum_Crus1_R,cerebellum
9011,Cerebelum_Crus2_L,cerebellum
9012,Cerebelum_Crus2_R,cerebellum
9021,Cerebelum_3_L,cerebellum
9022,Cerebelum_3_R,cerebellum
9031,Cerebelum_4_5_L,cerebellum
9032,Cerebelum_4_5_R,cerebellum
9041,Cerebelum_6_L,cerebellum
9042,Cerebelum_6_R,cerebellum
9051,Cerebelum_7b_L,cerebellum
9052,Cerebelum_7b_R,cerebellum
9061,Cerebelum_8_L,cerebellum
9062,Cerebelum_8_R,cerebellum
9071,Cerebelum_9_L,cerebellum
9072,Cerebelum_9_R,cerebellum
9081,Cerebelum_10_L,cerebellum
9082,Cerebelum_10_R,cerebellum
9100,Vermis_1_2,cerebellum
9110,Vermis_3,cerebellum
9120,Vermis_4_5,cerebellum
9130,Vermis_6,cerebellum
9140,Vermis_7,cerebellum
9150,Vermis_8,cerebellum
9160,Vermis_9,cerebellum
9170,Vermis_10,cerebellum